SPAN,PROVIDER_CODE,PROVIDER_NAME,REGION,TOTAL_ATTENDANCES,SEEN_WITHIN_4HRS,OVER_4HRS,PCT_WITHIN_4HRS,PERFORMANCE_GAP,TARGET_MET,PATIENTS_FAILED
2022_23,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,North West,330344,142927,187417,43.3,51.7,NO,187417
2022_23,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,North East and Yorkshire,143884,81619,62265,56.7,38.3,NO,62265
2022_23,R1F,ISLE OF WIGHT NHS TRUST,South East,42128,25762,16366,61.2,33.9,NO,16366
2022_23,R1H,BARTS HEALTH NHS TRUST,London,284779,153549,131230,53.9,41.1,NO,131230
2022_23,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,London,147725,76847,70878,52,43,NO,70878
2022_23,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,South East,78403,43296,35107,55.2,39.8,NO,35107
2022_23,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,South West,66631,48733,17898,73.1,21.9,NO,17898
2022_23,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,South West,168811,94240,74571,55.8,39.2,NO,74571
2022_23,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,South West,68253,24890,43363,36.5,58.5,NO,43363
2022_23,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,North East and Yorkshire,126858,88761,38097,70,25,NO,38097
2022_23,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,East of England,356712,223128,133584,62.6,32.5,NO,133584
2022_23,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,London,251237,146108,105129,58.2,36.8,NO,105129
2022_23,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,London,108502,53454,55048,49.3,45.7,NO,55048
2022_23,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,London,71589,31446,40143,43.9,51.1,NO,40143
2022_23,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,London,86725,48636,38089,56.1,38.9,NO,38089
2022_23,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,South West,51310,27402,23908,53.4,41.6,NO,23908
2022_23,RBK,WALSALL HEALTHCARE NHS TRUST,Midlands,96596,59564,37032,61.7,33.3,NO,37032
2022_23,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,North West,93894,48194,45700,51.3,43.7,NO,45700
2022_23,RBN,ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,North West,116596,54517,62079,46.8,48.2,NO,62079
2022_23,RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,North West,68162,50763,17399,74.5,20.5,NO,17399
2022_23,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,North West,81797,35873,45924,43.9,51.1,NO,45924
2022_23,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,North East and Yorkshire,111412,52555,58857,47.2,47.8,NO,58857
2022_23,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,North East and Yorkshire,54033,34999,19034,64.8,30.2,NO,19034
2022_23,RCF,AIREDALE NHS FOUNDATION TRUST,North East and Yorkshire,70135,38880,31255,55.4,39.6,NO,31255
